Entity,Code,Year,Self_harm,Conflict_and_terrorism,Interpersonal_violence,Diabetes_and_kidney_diseases,Digestive_diseases
India,IND,1990,1.681747187,0.105617587,0.507219259,1.391712421,2.562097501
India,IND,1991,1.737865252,0.067359792,0.497546087,1.45656372,2.599807167
India,IND,1992,1.775737377,0.069612529,0.509255756,1.514628743,2.625337262
India,IND,1993,1.807046272,0.034948522,0.522855671,1.579639172,2.705684967
India,IND,1994,1.847434263,0.034230277,0.527854679,1.652510934,2.792930708
India,IND,1995,1.86529312,0.029563717,0.538254525,1.701131424,2.834244811
India,IND,1996,1.905464134,0.034475811,0.544297899,1.790374066,2.910003113
India,IND,1997,1.994852096,0.038213461,0.549110204,1.897368751,3.007685457
India,IND,1998,2.070808219,0.035615566,0.563659688,1.972011457,3.053226845
India,IND,1999,2.173266839,0.046217617,0.579553616,2.031112761,3.109708978
India,IND,2000,2.206874237,0.07157212,0.589726626,2.116819881,3.155628039
India,IND,2001,2.180297506,0.098871094,0.594893054,2.200812979,3.198503458
India,IND,2002,2.155673682,0.061108968,0.614035503,2.293582277,3.239964478
India,IND,2003,2.108409933,0.052957108,0.607069874,2.372028223,3.256896819
India,IND,2004,2.140069326,0.045865753,0.61755262,2.415717412,3.255864428
India,IND,2005,2.193020324,0.050277984,0.626754136,2.518174975,3.321563837
India,IND,2006,2.217086745,0.054941627,0.625165305,2.618155156,3.37202307
India,IND,2007,2.185642214,0.048643808,0.623156674,2.718910754,3.435213287
India,IND,2008,2.170062351,0.052831432,0.626156303,2.809214203,3.508825927
India,IND,2009,2.169035984,0.050548512,0.621542003,2.869924932,3.528710697
India,IND,2010,2.221590279,0.042080486,0.618396431,2.953839575,3.588134563
India,IND,2011,2.253660294,0.03847023,0.61362782,3.094785134,3.636120166
India,IND,2012,2.247507658,0.034861516,0.590795377,3.275322959,3.620171063
India,IND,2013,2.184070125,0.029045642,0.592786519,3.430966167,3.627598114
India,IND,2014,2.106013383,0.037357491,0.593898743,3.596823339,3.61395016
India,IND,2015,2.044995416,0.030708346,0.603225871,3.756436031,3.679276112
India,IND,2016,2.061173876,0.041967827,0.620019489,3.918085136,3.782675795
